record_idx,scene_id,iou_c0,iou_c1,iou_c2,iou_c3,miou
5779,1561711133.0,1.0,nan,nan,nan,1.0
1816,1560490306.0,1.0,nan,nan,nan,1.0
7517,1590555423.0,0.44299869944881404,0.7832148661614678,0.0,0.0,0.3065533914025705
4626,1555349129.0,1.0,nan,nan,nan,1.0
2355,1554690436.0,0.9849908607510801,0.8532904928567331,nan,0.7247259439707674,0.8543357658595268
2886,1524558674.0,0.6894416543574594,0.8508245513684354,nan,0.7540439957257083,0.7647700671505344
3644,1582508393.0,1.0,nan,nan,nan,1.0
8535,1591422240.0,0.9980199161828598,0.7243867243867244,nan,0.8875739644970414,0.8699935350222084
4978,1587861997.0,0.6692299671549972,0.8774443175090267,0.43467609140929353,0.6858554579758702,0.6668014585122969
4658,1554628105.0,1.0,nan,nan,nan,1.0
8398,1577451479.0,1.0,nan,nan,nan,1.0
8965,1577451479.0,0.9271918293052887,0.9134586400365613,nan,0.7902778597132912,0.8769761096850471
1648,1589751453.0,1.0,nan,nan,nan,1.0
6448,1583177983.0,0.9880777228902788,0.8607045523367316,0.0,0.8344326061221038,0.6708037203372785
9413,1549442990.0,0.8116665961139568,0.88609817968946,0.0,0.7622333309864113,0.614999526697457
5086,1552403278.0,1.0,nan,nan,nan,1.0
4778,1575559956.0,0.9668417850072418,0.6983242636261553,0.0,0.6124921135646688,0.5694145405495165
8011,1571849326.0,0.7546038341675323,0.9282516796549604,0.0,0.8496394154062161,0.6331237323071772
2814,1565747253.0,0.7646692514064652,0.0,0.6863850702327786,0.0,0.36276358040981094
5581,1550576258.0,0.8954087065455685,0.859672517521553,nan,0.7604456824512534,0.8385089688394584
1500,1550865553.0,0.9325232436080078,0.12026549750334917,0.29402339644746134,nan,0.4489373791862728
8868,1591633886.0,0.9604915171905078,0.9345738995238558,0.0,0.8814410716214757,0.6941266220839598
3363,1585318062.0,0.9965257362766583,0.18971631205673758,0.0,nan,0.39541401611113197
7238,1589532148.0,0.9955787658691406,nan,0.0,nan,0.4977893829345703
3953,1568653164.0,0.3835041078187021,0.8583594508480319,0.0,0.500130046816854,0.435498401370897
7713,1573201135.0,0.803881288915148,0.0,0.6517099692221163,0.0,0.3638978145343161
2991,1551941340.0,0.9885127538234377,0.9487646293888167,nan,0.8499587798845837,0.9290787210322793
8936,1561536952.0,0.9408521303258145,0.8534424413954347,0.0,0.6037465417819406,0.5995102783757975
