record_idx,scene_id,iou_c0,iou_c1,iou_c2,iou_c3,miou
5779,1561711133.0,1.0,nan,nan,nan,1.0
1816,1560490306.0,1.0,nan,nan,nan,1.0
7517,1590555423.0,0.6284696847711649,0.8524718168952223,0.0,nan,0.49364716722212904
4626,1555349129.0,1.0,nan,nan,nan,1.0
2355,1554690436.0,0.9855157369897164,0.8581770506754831,nan,0.7209360219068957,0.8548762698573652
2886,1524558674.0,0.691709718887191,0.8416837782340862,0.0,0.7609886225456465,0.5735955299167309
3644,1582508393.0,1.0,nan,nan,nan,1.0
8535,1591422240.0,0.9978894518725828,0.7122198120028923,nan,0.872895622895623,0.8610016289236994
4978,1587861997.0,0.5779940389270068,0.8793020309754404,0.0,0.7325510678639144,0.5474617844415904
4658,1554628105.0,1.0,nan,nan,nan,1.0
8398,1577451479.0,1.0,nan,nan,nan,1.0
8965,1577451479.0,0.9333585432544069,0.9176580968409649,nan,0.7864374573201508,0.8791513658051743
1648,1589751453.0,1.0,nan,nan,nan,1.0
6448,1583177983.0,0.9874420616772758,0.8472661112707076,0.0,0.8383972183127743,0.6682763478151894
9413,1549442990.0,0.8211660384443192,0.885723058457373,0.0,0.7754555049438951,0.6205861504613969
5086,1552403278.0,1.0,nan,nan,nan,1.0
4778,1575559956.0,0.9685934175303728,0.6873576564104854,0.0,0.6227606728608732,0.5696779367004329
8011,1571849326.0,0.8385167604657447,0.9254795774379314,0.0,0.8417994715160269,0.6514489523549258
2814,1565747253.0,0.7629104080110791,0.0,0.6759861076655916,0.0016067436661698956,0.3601258148357102
5581,1550576258.0,0.8994379869715161,0.8641939956595129,nan,0.7696767001114827,0.8444362275808373
1500,1550865553.0,0.8701326911271663,0.45037145292899766,0.3033369979952144,nan,0.5412803806837928
8868,1591633886.0,0.9586167136590068,0.9357507720395439,0.0,0.892912505858178,0.6968199978891821
3363,1585318062.0,0.9959474310834325,0.07801418439716312,nan,0.0,0.3579872051601985
7238,1589532148.0,0.9727668762207031,nan,0.0,nan,0.48638343811035156
3953,1568653164.0,0.5483038236098035,0.8756377204884668,0.0,0.7393437623336084,0.5408213266079697
7713,1573201135.0,0.6604355613680949,0.0,0.42857970286994046,0.1298190023524893,0.30470856664763113
2991,1551941340.0,0.9912407436762608,0.958438123881874,nan,0.8706559736787991,0.9401116137456446
8936,1561536952.0,0.943105537326765,0.8542121874241321,0.0,0.6567818700358796,0.6135248986966941
